Code,Occupation
45-2091.00,Agricultural Equipment Operators
45-2011.00,Agricultural Inspectors
45-2099.00,"Agricultural Workers, All Other"
45-2021.00,Animal Breeders
45-4021.00,Fallers
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
45-3031.00,Fishing and Hunting Workers
45-4011.00,Forest and Conservation Workers
45-2041.00,"Graders and Sorters, Agricultural Products"
45-4023.00,Log Graders and Scalers
45-4022.00,Logging Equipment Operators
45-4029.00,"Logging Workers, All Other"
